transaction_id,transaction_date,product_id,customer_id,region_id,quantity,revenue,cost
T00001,2023-04-13,P01,C05,R02,2,592,410
T00002,2024-03-11,P05,C07,R04,2,132,88
T00003,2023-09-28,P01,C03,R01,3,594,474
T00004,2023-04-17,P03,C010,R04,4,1240,972
T00005,2023-03-13,P04,C02,R02,5,1300,825
T00006,2024-12-01,P04,C07,R01,2,726,490
T00007,2023-01-21,P05,C05,R04,2,126,78
T00008,2024-09-06,P03,C01,R02,4,1096,760
T00009,2023-05-02,P03,C01,R01,2,408,320
T00010,2024-04-11,P01,C09,R04,2,528,398
T00011,2023-08-03,P03,C05,R02,4,840,564
T00012,2023-11-27,P02,C01,R01,3,606,414
T00013,2024-04-03,P01,C07,R04,5,1475,1000
T00014,2023-03-29,P02,C09,R01,5,810,560
T00015,2024-01-08,P05,C01,R02,2,140,96
T00016,2023-04-10,P04,C010,R04,5,1670,1330
T00017,2024-10-25,P05,C04,R04,3,321,231
T00018,2023-05-11,P04,C03,R04,2,692,502
T00019,2024-10-23,P05,C05,R02,5,300,215
T00020,2023-11-05,P03,C07,R03,1,276,201
T00021,2023-12-10,P02,C08,R04,1,179,119
T00022,2024-05-06,P04,C02,R02,1,296,213
T00023,2024-02-18,P01,C07,R01,1,193,134
T00024,2024-01-21,P02,C01,R01,1,155,103
T00025,2023-07-11,P01,C07,R02,2,588,414
T00026,2023-10-04,P02,C08,R03,4,780,584
T00027,2023-06-10,P02,C02,R02,4,628,456
T00028,2024-04-04,P05,C09,R01,2,126,98
T00029,2023-11-10,P04,C01,R01,2,566,424
T00030,2023-01-22,P04,C06,R04,3,936,744
T00031,2023-09-10,P02,C01,R03,4,636,432
T00032,2024-07-14,P03,C03,R02,1,317,225
T00033,2024-04-19,P03,C06,R01,2,410,278
T00034,2023-02-28,P01,C03,R01,1,203,151
T00035,2024-05-25,P01,C08,R01,4,1140,856
T00036,2024-11-12,P05,C05,R02,5,585,445
T00037,2024-04-20,P02,C02,R02,5,1215,770
